16:14:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 52] Logger initialized
16:14:37: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.11) m/s
16:14:38: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 1.0, 0.1) m/s
16:14:38: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 1.9, 0.1) m/s
16:14:39: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 2.73, 0.09) m/s
16:14:39: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.87, 2.61, 0.09) m/s
16:14:40: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.67, 2.5, 0.08) m/s
16:14:40: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.4, 2.4, 0.08) m/s
16:14:41: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.31, 1.54, 0.08) m/s
16:14:41: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.22, 0.74, 0.07) m/s
16:14:42: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (2.14, 0.0, 0.07) m/s
16:14:42: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (1.38, 0.0, 0.07) m/s
16:14:43: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.67, 0.0, 0.07) m/s
16:14:43: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 91] AVERAGE VELOCITY: (0.0, 0.0, 0.06) m/s
