23:32:39: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 52] Logger initialized
23:32:45: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (3.33, 5.0, 0.17) m/s
23:32:45: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (4.62, 4.62, 0.15) m/s
23:32:46: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (4.29, 2.86, 0.14) m/s
23:32:46: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (4.0, 1.33, 0.13) m/s
23:32:47: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (3.75, 0.0, 0.12) m/s
23:32:47: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (2.35, 0.0, 0.12) m/s
23:32:48: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (1.11, 0.0, 0.11) m/s
23:32:48: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.11) m/s
23:32:49: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 1.0, 0.1) m/s
23:32:49: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 1.9, 0.1) m/s
23:32:50: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 2.73, 0.09) m/s
23:32:50: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.87, 2.61, 0.09) m/s
23:32:51: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (1.67, 2.5, 0.08) m/s
23:32:51: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (2.4, 2.4, 0.08) m/s
23:32:52: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (2.31, 1.54, 0.08) m/s
23:32:52: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (2.22, 0.74, 0.07) m/s
23:32:53: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (2.14, 0.0, 0.07) m/s
23:32:53: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (1.38, 0.0, 0.07) m/s
23:32:54: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.67, 0.0, 0.07) m/s
23:32:54: [INFO] [/home/pencilknot/Documents/Programming/Design Teams/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 88] AVERAGE VELOCITY: (0.0, 0.0, 0.06) m/s
